area_name,year,group_name,sub_group_name,k_a_cases_reported,k_a_female_10_15_years,k_a_female_15_18_years,k_a_female_18_30_years,k_a_female_30_50_years,k_a_female_above_50_years,k_a_female_total,k_a_female_upto_10_years,k_a_grand_total,k_a_male_10_15_years,k_a_male_15_18_years,k_a_male_18_30_years,k_a_male_30_50_years,k_a_male_above_50_years,k_a_male_total,k_a_male_upto_10_years
Andhra Pradesh,2001,Kidnap - For Adoption,01. For Adoption,8,0,0,4,0,0,5,1,8,0,0,0,0,0,3,3
Arunachal Pradesh,2001,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2001,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2001,Kidnap - For Adoption,01. For Adoption,18,0,0,0,0,0,0,0,18,0,0,15,3,0,18,0
Chandigarh,2001,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2001,Kidnap - For Adoption,01. For Adoption,6,2,1,3,0,0,6,0,6,0,0,0,0,0,0,0
Delhi,2001,Kidnap - For Adoption,01. For Adoption,5,1,,,,,1,,7,1,,1,2,,6,2
Gujarat,2001,Kidnap - For Adoption,01. For Adoption,3,0,0,2,0,0,3,1,3,0,0,0,0,0,0,0
Haryana,2001,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2001,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2001,Kidnap - For Adoption,01. For Adoption,2,,,,,,,,2,1,,,,,2,1
Jharkhand,2001,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2001,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2001,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Meghalaya,2001,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2001,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2001,Kidnap - For Adoption,01. For Adoption,3,0,0,0,0,0,1,1,3,0,0,2,0,0,2,0
Odisha,2001,Kidnap - For Adoption,01. For Adoption,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0
Punjab,2001,Kidnap - For Adoption,01. For Adoption,3,,,,,,1,1,3,,,,,,2,2
Rajasthan,2001,Kidnap - For Adoption,01. For Adoption,1,,,,,,,,1,,,,,,1,1
Sikkim,2001,Kidnap - For Adoption,01. For Adoption,6,,,0,0,,,,7,,,6,1,,7,0
Tamil Nadu,2001,Kidnap - For Adoption,01. For Adoption,22,0,17,4,,,22,1,22,0,,,,,,0
Uttar Pradesh,2001,Kidnap - For Adoption,01. For Adoption,6,,1,,,,1,,6,,2,3,,,5,
West Bengal,2001,Kidnap - For Adoption,01. For Adoption,3,2,0,0,0,0,2,0,3,0,0,1,0,0,1,0
Andhra Pradesh,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2002,Kidnap - For Adoption,01. For Adoption,3,0,0,0,0,0,1,1,3,0,0,2,0,0,2,0
Chhattisgarh,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2002,Kidnap - For Adoption,01. For Adoption,6,0,2,3,0,0,5,0,6,0,0,0,0,0,1,1
Gujarat,2002,Kidnap - For Adoption,01. For Adoption,2,0,1,0,0,0,1,0,2,0,0,1,0,0,1,0
Haryana,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2002,Kidnap - For Adoption,01. For Adoption,2,,,,,,,,2,,,2,,,2,
Karnataka,2002,Kidnap - For Adoption,01. For Adoption,2,1,0,0,0,0,1,0,2,0,0,1,0,0,1,0
Madhya Pradesh,2002,Kidnap - For Adoption,01. For Adoption,6,0,0,1,0,0,2,1,6,0,0,3,0,0,4,1
Maharashtra,2002,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Meghalaya,2002,Kidnap - For Adoption,01. For Adoption,4,0,0,0,0,0,0,0,4,0,0,3,1,0,4,0
Nagaland,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2002,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Punjab,2002,Kidnap - For Adoption,01. For Adoption,3,2,1,0,0,0,3,0,3,0,0,0,0,0,0,0
Rajasthan,2002,Kidnap - For Adoption,01. For Adoption,1,,,,,,1,1,1,,,,,,,
Tamil Nadu,2002,Kidnap - For Adoption,01. For Adoption,36,2,20,14,0,0,36,0,36,0,0,0,0,0,0,0
Tripura,2002,Kidnap - For Adoption,01. For Adoption,0,,,,,,,,,,,,,,,
Uttar Pradesh,2002,Kidnap - For Adoption,01. For Adoption,8,1,,,,,1,,8,,,6,1,,7,
West Bengal,2002,Kidnap - For Adoption,01. For Adoption,11,0,0,11,0,0,11,0,11,0,0,0,0,0,0,0
Andhra Pradesh,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2003,Kidnap - For Adoption,01. For Adoption,4,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0
Bihar,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2003,Kidnap - For Adoption,01. For Adoption,8,0,2,2,0,0,5,1,8,0,0,0,0,0,3,3
Gujarat,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2003,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Karnataka,2003,Kidnap - For Adoption,01. For Adoption,2,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1
Madhya Pradesh,2003,Kidnap - For Adoption,01. For Adoption,2,,1,,,,1,,2,,,,,,1,1
Maharashtra,2003,Kidnap - For Adoption,01. For Adoption,7,1,0,5,0,0,7,1,7,0,0,0,0,0,0,0
Meghalaya,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2003,Kidnap - For Adoption,01. For Adoption,0,,,,,,,,,,,,,,,
Punjab,2003,Kidnap - For Adoption,01. For Adoption,7,0,0,0,0,0,3,3,7,0,0,3,0,0,4,1
Tamil Nadu,2003,Kidnap - For Adoption,01. For Adoption,21,0,6,4,0,0,10,0,21,0,0,5,6,0,11,0
Uttar Pradesh,2003,Kidnap - For Adoption,01. For Adoption,8,,,3,,,3,,8,,,4,1,,5,
West Bengal,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2004,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Arunachal Pradesh,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2004,Kidnap - For Adoption,01. For Adoption,8,0,0,3,0,0,3,0,8,0,0,5,0,0,5,0
Chhattisgarh,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2004,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Himachal Pradesh,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2004,Kidnap - For Adoption,01. For Adoption,1,,,,,,,,1,,,1,,,1,
Karnataka,2004,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Kerala,2004,Kidnap - For Adoption,01. For Adoption,3,,,,,,3,3,3,,,,,,,
Madhya Pradesh,2004,Kidnap - For Adoption,01. For Adoption,2,0,1,0,0,0,1,0,2,0,0,0,0,0,1,1
